state_name,category_name,aspirational_final,class,amount_of_scholarship,gender_male,is_outlier
Jammu & Kashmir,ST,False,0.5,60000.0,False,False
Jammu & Kashmir,ST,False,0.75,30000.0,False,False
Jammu & Kashmir,ST,False,1.0,20000.0,False,False
Jharkhand,Gen,True,0.0,160000.0,True,False
Jharkhand,Gen,True,0.25,210000.0,True,False
Jharkhand,Gen,True,0.5,180000.0,True,False
Jharkhand,Gen,True,0.75,320000.0,True,False
Jharkhand,Gen,True,1.0,290000.0,True,False
Jharkhand,Gen,False,0.0,10000.0,True,False
Jharkhand,Gen,False,0.25,20000.0,True,False
Jharkhand,Gen,False,0.5,90000.0,True,False
Jharkhand,Gen,False,0.75,50000.0,True,False
Jharkhand,Gen,False,1.0,170000.0,True,False
Jharkhand,OBC,True,0.0,300000.0,True,False
Jharkhand,OBC,True,0.25,570000.0,True,False
Jharkhand,OBC,True,0.75,660000.0,True,False
Jharkhand,OBC,False,0.0,70000.0,True,False
Jharkhand,OBC,False,0.25,170000.0,True,False
Jharkhand,OBC,False,0.5,360000.0,True,False
